"altersgruppe","freq","date"
"<5",21,2020-03-26 17:22:58
"5-14",124,2020-03-26 17:22:58
"15-24",620,2020-03-26 17:22:58
"25-34",1037,2020-03-26 17:22:58
"35-44",1007,2020-03-26 17:22:58
"45-54",1430,2020-03-26 17:22:58
"55-64",1156,2020-03-26 17:22:58
">64",1277,2020-03-26 17:22:58
"<5",23,2020-03-26 18:00:00
"5-14",134,2020-03-26 18:00:00
"15-24",628,2020-03-26 18:00:00
"25-34",1054,2020-03-26 18:00:00
"35-44",1029,2020-03-26 18:00:00
"45-54",1463,2020-03-26 18:00:00
"55-64",1188,2020-03-26 18:00:00
">64",1297,2020-03-26 18:00:00
"<5",23,2020-03-26 19:00:00
"5-14",134,2020-03-26 19:00:00
"15-24",628,2020-03-26 19:00:00
"25-34",1054,2020-03-26 19:00:00
"35-44",1029,2020-03-26 19:00:00
"45-54",1463,2020-03-26 19:00:00
"55-64",1188,2020-03-26 19:00:00
">64",1297,2020-03-26 19:00:00
"<5",23,2020-03-26 20:00:00
"5-14",134,2020-03-26 20:00:00
"15-24",632,2020-03-26 20:00:00
"25-34",1057,2020-03-26 20:00:00
"35-44",1035,2020-03-26 20:00:00
"45-54",1469,2020-03-26 20:00:00
"55-64",1190,2020-03-26 20:00:00
">64",1307,2020-03-26 20:00:00
"<5",23,2020-03-26 21:00:00
"5-14",134,2020-03-26 21:00:00
"15-24",634,2020-03-26 21:00:00
"25-34",1057,2020-03-26 21:00:00
"35-44",1036,2020-03-26 21:00:00
"45-54",1469,2020-03-26 21:00:00
"55-64",1192,2020-03-26 21:00:00
">64",1311,2020-03-26 21:00:00
"<5",24,2020-03-26 22:00:00
"5-14",134,2020-03-26 22:00:00
"15-24",635,2020-03-26 22:00:00
"25-34",1057,2020-03-26 22:00:00
"35-44",1037,2020-03-26 22:00:00
"45-54",1473,2020-03-26 22:00:00
"55-64",1194,2020-03-26 22:00:00
">64",1311,2020-03-26 22:00:00
"<5",26,2020-03-26 23:00:00
"5-14",134,2020-03-26 23:00:00
"15-24",639,2020-03-26 23:00:00
"25-34",1064,2020-03-26 23:00:00
"35-44",1043,2020-03-26 23:00:00
"45-54",1479,2020-03-26 23:00:00
"55-64",1201,2020-03-26 23:00:00
">64",1312,2020-03-26 23:00:00
