"datum","freq"
2020-03-12,454
2020-03-13,644
2020-03-14,828
2020-03-15,1039
2020-03-16,1328
2020-03-17,1678
2020-03-18,2103
2020-03-19,2576
2020-03-20,3119
2020-03-21,3567
2020-03-22,4206
2020-03-23,5022
2020-03-24,5826
2020-03-25,6490
2020-03-26,7451
2020-03-27,8250
2020-03-28,8813
2020-03-29,9275
2020-03-30,9976
2020-03-31,10534
2020-04-01,11026
2020-04-02,11409
2020-04-03,11791
2020-04-04,12076
2020-04-05,12265
2020-04-06,12518
2020-04-07,12842
2020-04-08,13076
2020-04-09,13313
2020-04-10,13560
