"date","nuts2","freq"
"22.03",1,63
"22.03",2,108
"22.03",3,460
"22.03",4,629
"22.03",5,271
"22.03",6,428
"22.03",7,644
"22.03",8,263
"22.03",9,403
"23.03",1,72
"23.03",2,123
"23.03",3,570
"23.03",4,708
"23.03",5,372
"23.03",6,489
"23.03",7,808
"23.03",8,323
"23.03",9,478
"24.03",1,84
"24.03",2,141
"24.03",3,621
"24.03",4,800
"24.03",5,429
"24.03",6,569
"24.03",7,1254
"24.03",8,379
"24.03",9,649
"25.03",1,89
"25.03",2,161
"25.03",3,754
"25.03",4,921
"25.03",5,516
"25.03",6,627
"25.03",7,1405
"25.03",8,409
"25.03",9,706
"26.03",1,116
"26.03",2,188
"26.03",3,918
"26.03",4,1102
"26.03",5,627
"26.03",6,740
"26.03",7,1647
"26.03",8,435
"26.03",9,899
"27.03",1,138
"27.03",2,202
"27.03",3,1147
"27.03",4,1227
"27.03",5,687
"27.03",6,777
"27.03",7,1755
"27.03",8,503
"27.03",9,1005
"28.03",1,142
"28.03",2,221
"28.03",3,1262
"28.03",4,1337
"28.03",5,751
"28.03",6,848
"28.03",7,1849
"28.03",8,553
"28.03",9,1067
"29.03",1,159
"29.03",2,239
"29.03",3,1350
"29.03",4,1451
"29.03",5,798
"29.03",6,915
"29.03",7,1944
"29.03",8,579
"29.03",9,1101
"30.03",1,179
"30.03",2,261
"30.03",3,1533
"30.03",4,1535
"30.03",5,855
"30.03",6,958
"30.03",7,2205
"30.03",8,616
"30.03",9,1235
"31.03",1,182
"31.03",2,273
"31.03",3,1616
"31.03",4,1596
"31.03",5,911
"31.03",6,1049
"31.03",7,2323
"31.03",8,646
"31.03",9,1378
"01.04",1,188
"01.04",2,293
"01.04",3,1685
"01.04",4,1671
"01.04",5,955
"01.04",6,1113
"01.04",7,2414
"01.04",8,666
"01.04",9,1497
"02.04",1,201
"02.04",2,300
"02.04",3,1738
"02.04",4,1781
"02.04",5,994
"02.04",6,1158
"02.04",7,2531
"02.04",8,681
"02.04",9,1583
"03.04",1,206
"03.04",2,304
"03.04",3,1828
"03.04",4,1836
"03.04",5,1038
"03.04",6,1205
"03.04",7,2595
"03.04",8,710
"03.04",9,1661
"04.04",1,224
"04.04",2,310
"04.04",3,1860
"04.04",4,1890
"04.04",5,1059
"04.04",6,1263
"04.04",7,2658
"04.04",8,722
"04.04",9,1679
"05.04",1,226
"05.04",2,319
"05.04",3,1903
"05.04",4,1932
"05.04",5,1069
"05.04",6,1311
"05.04",7,2704
"05.04",8,742
"05.04",9,1701
"06.04",1,228
"06.04",2,328
"06.04",3,1994
"06.04",4,1963
"06.04",5,1083
"06.04",6,1339
"06.04",7,2774
"06.04",8,754
"06.04",9,1743
"07.04",1,234
"07.04",2,341
"07.04",3,2071
"07.04",4,1991
"07.04",5,1094
"07.04",6,1372
"07.04",7,2835
"07.04",8,768
"07.04",9,1813
"08.04",1,242
"08.04",2,353
"08.04",3,2122
"08.04",4,2037
"08.04",5,1119
"08.04",6,1423
"08.04",7,2903
"08.04",8,793
"08.04",9,1860
"09.04",1,245
"09.04",2,365
"09.04",3,2169
"09.04",4,2079
"09.04",5,1134
"09.04",6,1458
"09.04",7,2996
"09.04",8,800
"09.04",9,1892
