"date";"geschlecht";"freq"
"22.03";"männlich";57
"22.03";"weiblich";43
"23.03";"männlich";56
"23.03";"weiblich";44
"24.03";"männlich";55
"24.03";"weiblich";45
"25.03";"männlich";55
"25.03";"weiblich";45
"26.03";"männlich";54
"26.03";"weiblich";46
"27.03";"männlich";53
"27.03";"weiblich";47
"28.03";"männlich";53
"28.03";"weiblich";47
"29.03";"männlich";52
"29.03";"weiblich";48
"30.03";"männlich";52
"30.03";"weiblich";48
"31.03";"männlich";52
"31.03";"weiblich";48
"01.04";"männlich";51
"01.04";"weiblich";49
"02.04";"männlich";51
"02.04";"weiblich";49
"03.04";"männlich";51
"03.04";"weiblich";49
"04.04";"männlich";51
"04.04";"weiblich";49
"05.04";"männlich";51
"05.04";"weiblich";49
"06.04";"männlich";50
"06.04";"weiblich";50
"07.04";"männlich";50
"07.04";"weiblich";50
"08.04";"männlich";50
"08.04";"weiblich";50
"09.04";"männlich";50
"09.04";"weiblich";50
"10.04";"männlich";50
"10.04";"weiblich";50
"11.04";"männlich";50
"11.04";"weiblich";50
