"bundesland";"todesfaelle";"date"
"Bgld";3;2020-04-02 09:30:00
"Ktn";2;2020-04-02 09:30:00
"NÖ";28;2020-04-02 09:30:00
"OÖ";14;2020-04-02 09:30:00
"Sbg";12;2020-04-02 09:30:00
"Stmk";35;2020-04-02 09:30:00
"T";28;2020-04-02 09:30:00
"Vbg";5;2020-04-02 09:30:00
"W";31;2020-04-02 09:30:00
"Bgld";3;2020-04-03 09:30:00
"Ktn";3;2020-04-03 09:30:00
"NÖ";28;2020-04-03 09:30:00
"OÖ";17;2020-04-03 09:30:00
"Sbg";12;2020-04-03 09:30:00
"Stmk";38;2020-04-03 09:30:00
"T";29;2020-04-03 09:30:00
"Vbg";4;2020-04-03 09:30:00
"W";34;2020-04-03 09:30:00
"Bgld";3;2020-04-04 09:30:00
"Ktn";3;2020-04-04 09:30:00
"NÖ";31;2020-04-04 09:30:00
"OÖ";18;2020-04-04 09:30:00
"Sbg";12;2020-04-04 09:30:00
"Stmk";47;2020-04-04 09:30:00
"T";31;2020-04-04 09:30:00
"Vbg";4;2020-04-04 09:30:00
"W";37;2020-04-04 09:30:00
"Bgld";3;2020-04-05 09:30:00
"Ktn";4;2020-04-05 09:30:00
"NÖ";31;2020-04-05 09:30:00
"OÖ";20;2020-04-05 09:30:00
"Sbg";14;2020-04-05 09:30:00
"Stmk";53;2020-04-05 09:30:00
"T";35;2020-04-05 09:30:00
"Vbg";4;2020-04-05 09:30:00
"W";40;2020-04-05 09:30:00
"Bgld";3;2020-04-06 09:30:00
"Ktn";4;2020-04-06 09:30:00
"NÖ";36;2020-04-06 09:30:00
"OÖ";22;2020-04-06 09:30:00
"Sbg";15;2020-04-06 09:30:00
"Stmk";56;2020-04-06 09:30:00
"T";35;2020-04-06 09:30:00
"Vbg";5;2020-04-06 09:30:00
"W";44;2020-04-06 09:30:00
"Bgld";3;2020-04-07 09:30:00
"Ktn";4;2020-04-07 09:30:00
"NÖ";39;2020-04-07 09:30:00
"OÖ";23;2020-04-07 09:30:00
"Sbg";16;2020-04-07 09:30:00
"Stmk";60;2020-04-07 09:30:00
"T";40;2020-04-07 09:30:00
"Vbg";5;2020-04-07 09:30:00
"W";53;2020-04-07 09:30:00
"Bgld";3;2020-04-08 10:00:00
"Ktn";5;2020-04-08 10:00:00
"NÖ";42;2020-04-08 10:00:00
"OÖ";28;2020-04-08 10:00:00
"Sbg";20;2020-04-08 10:00:00
"Stmk";66;2020-04-08 10:00:00
"T";46;2020-04-08 10:00:00
"Vbg";5;2020-04-08 10:00:00
"W";58;2020-04-08 10:00:00
"Bgld";3;2020-04-09 10:00:00
"Ktn";5;2020-04-09 10:00:00
"NÖ";47;2020-04-09 10:00:00
"OÖ";29;2020-04-09 10:00:00
"Sbg";20;2020-04-09 10:00:00
"Stmk";69;2020-04-09 10:00:00
"T";53;2020-04-09 10:00:00
"Vbg";7;2020-04-09 10:00:00
"W";62;2020-04-09 10:00:00
"Bgld";3;2020-04-09 10:30:00
"Ktn";5;2020-04-09 10:30:00
"NÖ";47;2020-04-09 10:30:00
"OÖ";29;2020-04-09 10:30:00
"Sbg";20;2020-04-09 10:30:00
"Stmk";69;2020-04-09 10:30:00
"T";53;2020-04-09 10:30:00
"Vbg";7;2020-04-09 10:30:00
"W";62;2020-04-09 10:30:00
