"nuts2","todesfaelle","date"
1,3,2020-04-02 09:30:00
2,2,2020-04-02 09:30:00
3,28,2020-04-02 09:30:00
4,14,2020-04-02 09:30:00
5,12,2020-04-02 09:30:00
6,35,2020-04-02 09:30:00
7,28,2020-04-02 09:30:00
8,5,2020-04-02 09:30:00
9,31,2020-04-02 09:30:00
1,3,2020-04-03 09:30:00
2,3,2020-04-03 09:30:00
3,28,2020-04-03 09:30:00
4,17,2020-04-03 09:30:00
5,12,2020-04-03 09:30:00
6,38,2020-04-03 09:30:00
7,29,2020-04-03 09:30:00
8,4,2020-04-03 09:30:00
9,34,2020-04-03 09:30:00
1,3,2020-04-04 09:30:00
2,3,2020-04-04 09:30:00
3,31,2020-04-04 09:30:00
4,18,2020-04-04 09:30:00
5,12,2020-04-04 09:30:00
6,47,2020-04-04 09:30:00
7,31,2020-04-04 09:30:00
8,4,2020-04-04 09:30:00
9,37,2020-04-04 09:30:00
1,3,2020-04-05 09:30:00
2,4,2020-04-05 09:30:00
3,31,2020-04-05 09:30:00
4,20,2020-04-05 09:30:00
5,14,2020-04-05 09:30:00
6,53,2020-04-05 09:30:00
7,35,2020-04-05 09:30:00
8,4,2020-04-05 09:30:00
9,40,2020-04-05 09:30:00
1,3,2020-04-06 09:30:00
2,4,2020-04-06 09:30:00
3,36,2020-04-06 09:30:00
4,22,2020-04-06 09:30:00
5,15,2020-04-06 09:30:00
6,56,2020-04-06 09:30:00
7,35,2020-04-06 09:30:00
8,5,2020-04-06 09:30:00
9,44,2020-04-06 09:30:00
1,3,2020-04-07 09:30:00
2,4,2020-04-07 09:30:00
3,39,2020-04-07 09:30:00
4,23,2020-04-07 09:30:00
5,16,2020-04-07 09:30:00
6,60,2020-04-07 09:30:00
7,40,2020-04-07 09:30:00
8,5,2020-04-07 09:30:00
9,53,2020-04-07 09:30:00
1,3,2020-04-08 10:00:00
2,5,2020-04-08 10:00:00
3,42,2020-04-08 10:00:00
4,28,2020-04-08 10:00:00
5,20,2020-04-08 10:00:00
6,66,2020-04-08 10:00:00
7,46,2020-04-08 10:00:00
8,5,2020-04-08 10:00:00
9,58,2020-04-08 10:00:00
1,3,2020-04-09 10:00:00
2,5,2020-04-09 10:00:00
3,47,2020-04-09 10:00:00
4,29,2020-04-09 10:00:00
5,20,2020-04-09 10:00:00
6,69,2020-04-09 10:00:00
7,53,2020-04-09 10:00:00
8,7,2020-04-09 10:00:00
9,62,2020-04-09 10:00:00
1,3,2020-04-09 10:30:00
2,5,2020-04-09 10:30:00
3,47,2020-04-09 10:30:00
4,29,2020-04-09 10:30:00
5,20,2020-04-09 10:30:00
6,69,2020-04-09 10:30:00
7,53,2020-04-09 10:30:00
8,7,2020-04-09 10:30:00
9,62,2020-04-09 10:30:00
1,4,2020-04-10 10:00:00
2,5,2020-04-10 10:00:00
3,54,2020-04-10 10:00:00
4,29,2020-04-10 10:00:00
5,23,2020-04-10 10:00:00
6,71,2020-04-10 10:00:00
7,59,2020-04-10 10:00:00
8,7,2020-04-10 10:00:00
9,67,2020-04-10 10:00:00
1,5,2020-04-11 09:30:00
2,5,2020-04-11 09:30:00
3,60,2020-04-11 09:30:00
4,29,2020-04-11 09:30:00
5,24,2020-04-11 09:30:00
6,73,2020-04-11 09:30:00
7,62,2020-04-11 09:30:00
8,7,2020-04-11 09:30:00
9,72,2020-04-11 09:30:00
1,6,2020-04-12 09:30:00
2,5,2020-04-12 09:30:00
3,62,2020-04-12 09:30:00
4,30,2020-04-12 09:30:00
5,24,2020-04-12 09:30:00
6,76,2020-04-12 09:30:00
7,66,2020-04-12 09:30:00
8,7,2020-04-12 09:30:00
9,74,2020-04-12 09:30:00
1,6,2020-04-13 09:30:00
2,8,2020-04-13 09:30:00
3,66,2020-04-13 09:30:00
4,32,2020-04-13 09:30:00
5,26,2020-04-13 09:30:00
6,80,2020-04-13 09:30:00
7,68,2020-04-13 09:30:00
8,7,2020-04-13 09:30:00
9,75,2020-04-13 09:30:00
